node_index,root_id,type,family,role,side
8819,720575940630645356,T4d,T4 Neuron,input,right
8820,720575940630645729,T5c,T5 Neuron,input,right
8821,720575940630649196,T5c,T5 Neuron,input,left
8822,720575940630650220,T5d,T5 Neuron,input,left
8823,720575940630651991,T5a,T5 Neuron,input,right
8824,720575940630652665,T5d,T5 Neuron,input,left
8825,720575940630653515,T5a,T5 Neuron,input,right
8826,720575940630654459,T5b,T5 Neuron,input,left
8827,720575940630654927,T5d,T5 Neuron,input,right
8828,720575940630658041,T4b,T4 Neuron,input,right
8829,720575940630667576,T4c,T4 Neuron,input,right
8830,720575940630668492,T4a,T4 Neuron,input,left
8831,720575940630669672,T5c,T5 Neuron,input,right
8832,720575940630673623,T4b,T4 Neuron,input,left
8833,720575940630674647,T4a,T4 Neuron,input,left
8834,720575940630675415,T4c,T4 Neuron,input,right
8835,720575940630675705,T5a,T5 Neuron,input,left
8836,720575940630675756,T4c,T4 Neuron,input,right
8837,720575940630676217,T5b,T5 Neuron,input,left
8838,720575940630677100,T4d,T4 Neuron,input,left
8839,720575940630682220,T5c,T5 Neuron,input,left
8840,720575940630683692,T5d,T5 Neuron,input,right
8841,720575940630687350,T4b,T4 Neuron,input,left
8842,720575940630688207,T5a,T5 Neuron,input,right
8843,720575940630697334,T5b,T5 Neuron,input,left
8844,720575940630698496,T4d,T4 Neuron,input,left
8845,720575940630700348,VST1,VS,processing,right
8846,720575940630700684,T4b,T4 Neuron,input,right
8847,720575940630701430,T5d,T5 Neuron,input,left
8848,720575940630703865,T4b,T4 Neuron,input,left
8849,720575940630705995,T4a,T4 Neuron,input,right
8850,720575940630706169,T4c,T4 Neuron,input,right
8851,720575940630706302,T5a,T5 Neuron,input,right
8852,720575940630706476,T5a,T5 Neuron,input,left
8853,720575940630706683,T4b,T4 Neuron,input,right
8854,720575940630707193,T5a,T5 Neuron,input,left
8855,720575940630710521,T4b,T4 Neuron,input,left
8856,720575940630711127,T5c,T5 Neuron,input,left
8857,720575940630713081,T4d,T4 Neuron,input,right
8858,720575940630715129,T5b,T5 Neuron,input,left
8859,720575940630719340,T4a,T4 Neuron,input,right
8860,720575940630723671,T4c,T4 Neuron,input,right
